X	Y	Long	Lat	Z
-35000.00	-75000.00	-45.4333	-17.5833	29.630
-35000.00	-70000.00	-45.4333	-17.5667	33.905
-35000.00	-65000.00	-45.4333	-17.5500	38.833
-35000.00	-60000.00	-45.4333	-17.5333	44.474
-35000.00	-55000.00	-45.4333	-17.5167	50.865
-35000.00	-50000.00	-45.4333	-17.5000	57.993
-35000.00	-45000.00	-45.4333	-17.4833	65.768
-35000.00	-40000.00	-45.4333	-17.4667	73.981
-35000.00	-35000.00	-45.4333	-17.4500	82.263
-35000.00	-30000.00	-45.4333	-17.4333	90.057
-35000.00	-25000.00	-45.4333	-17.4167	96.624
-35000.00	-20000.00	-45.4333	-17.4000	101.119
-35000.00	-15000.00	-45.4333	-17.3833	102.746
-35000.00	-10000.00	-45.4333	-17.3667	100.989
-35000.00	-5000.00	-45.4333	-17.3500	95.818
-35000.00	0.00	-45.4333	-17.3333	87.786
-35000.00	5000.00	-45.4333	-17.3167	77.915
-35000.00	10000.00	-45.4333	-17.3000	67.402
-35000.00	15000.00	-45.4333	-17.2833	57.305
-35000.00	20000.00	-45.4333	-17.2667	48.320
-35000.00	25000.00	-45.4333	-17.2500	40.748
-35000.00	30000.00	-45.4333	-17.2333	34.581
-35000.00	35000.00	-45.4333	-17.2167	29.638
-35000.00	40000.00	-45.4333	-17.2000	25.679
-35000.00	45000.00	-45.4333	-17.1833	22.474
-35000.00	50000.00	-45.4333	-17.1667	19.839
-35000.00	55000.00	-45.4333	-17.1500	17.631
-35000.00	60000.00	-45.4333	-17.1333	15.750
-35000.00	65000.00	-45.4333	-17.1167	14.126
-35000.00	70000.00	-45.4333	-17.1000	12.708
-35000.00	75000.00	-45.4333	-17.0833	11.462
-35000.00	80000.00	-45.4333	-17.0667	10.360
-35000.00	85000.00	-45.4333	-17.0500	9.382
-35000.00	90000.00	-45.4333	-17.0333	8.512
-35000.00	95000.00	-45.4333	-17.0167	7.736
-35000.00	100000.00	-45.4333	-17.0000	7.043
-35000.00	105000.00	-45.4333	-16.9833	6.423
-35000.00	110000.00	-45.4333	-16.9667	5.868
